code,name_ja,name_en,population,gdp_nominal,gdp_ppp_per_capita,gdp_ppp,y_gdp,y_ppp,y_population,surface,population_density,y_net,net,y_life,life,y_young,young,y_forest,forest,y_tas,tas,capital_en,capital_ja,name_ja_hira
GRL,グリーンランド,Greenland,55922,3235809504.0,68976.47125,3857302225.0,2021,2021,2023,410450.0,0.1362455841,2017,69.4825,2022,71.5404878,2023,20.80289687,2022,0.0005359970764,2023,-18.47,Nuuk,ヌーク,ぐりーんらんど
GRD,グレナダ,Grenada,117081,1316733333.0,16946.47316,1984110024.0,2023,2023,2023,340.0,344.3558824,2023,74.1201,2022,75.335,2023,19.84608946,2022,52.05882353,2023,26.78,St. George's,セントジョージズ,ぐれなだ
CYM,ケイマン諸島,Cayman Islands,73038,7139428558.0,78109.35066,5704950753.0,2023,2023,2023,264.0,276.6590909,2017,81.0677,2021,82.0097561,2023,16.29425778,2022,52.66666667,2023,28.64,George Town,ジョージタウン,けいまんしょとう
KEN,ケニア,Kenya,55339003,108038588971.0,5682.989162,314490954312.0,2023,2023,2023,580370.0,95.35124662,2023,35.0,2022,62.055,2023,37.44713053,2022,6.344818498,2023,25.54,Nairobi,ナイロビ,けにあ
CRI,コスタリカ,Costa Rica,5105525,86497941439.0,25989.90981,132692134269.0,2023,2023,2023,51100.0,99.91242661,2023,85.3951,2022,77.32,2023,19.33098757,2022,60.07853506,2023,25.42,San Jose,サンノゼ,こすたりか
COM,コモロ,Comoros,850387,1352380971.0,3498.803271,2975336817.0,2023,2023,2023,1861.0,456.9516389,2023,35.6678,2022,63.68,2023,37.40138313,2022,17.21655024,2023,24.38,Moroni,モロナイ,こもろ
COL,コロンビア,Colombia,52321152,363493841244.0,18324.9053,958780155617.0,2023,2023,2023,1140619.05,45.8708383,2023,77.3369,2022,73.659,2023,20.59784616,2022,52.94577639,2023,25.32,Bogota,ボゴタ,ころんびあ
COG,コンゴ共和国,Congo,6182885,15321055823.0,6172.287767,38162545447.0,2023,2023,2023,342000.0,18.07861111,2023,38.3791,2022,63.053,2023,40.8836975,2022,64.17569546,2023,24.77,Brazzaville,ブラザビル,こんごきょうわこく
COD,コンゴ民主共和国,"Congo, The Democratic Republic of the",105789731,66383287003.0,1455.835623,154012458934.0,2023,2023,2023,2344860.0,45.11558515,2023,30.548,2022,59.743,2023,46.08828835,2022,54.67567592,2023,24.33,Kinshasa,キンシャサ,こんごみんしゅきょうわこく
CIV,コートジボワール,Côte d'Ivoire,31165654,78875489245.0,6485.315849,202119109831.0,2023,2023,2023,322460.0,96.64967438,2023,40.6528,2022,58.916,2023,41.27642404,2022,8.210499686,2023,27.3,Yamoussoukro,ヤムスクロ,こーとじぼわーる
SAU,サウジアラビア,Saudi Arabia,33264292,1067582933333.0,55055.39968,1831378891211.0,2023,2023,2023,2149690.0,15.47399486,2023,100.0,2022,77.905,2023,24.09744209,2022,0.4544841349,2023,26.52,Riyadh,リヤド,さうじあらびあ
WSM,サモア,Samoa,216663,938189443.8,6304.346137,1365918547.0,2023,2023,2023,2840.0,76.28978873,2023,58.1386,2022,72.598,2023,38.72788616,2022,57.80935252,2023,27.72,Apia,アピア,さもあ
